source,category,title,link,summary,published,collected_at
PYMNTS,fintech_news,Upwork Says AI Projects Drive Growth in Otherwise Sluggish Labor Market,https://www.pymnts.com/gig-economy/2025/upwork-says-ai-projects-drive-growth-in-otherwise-sluggish-labor-market/,"<p>The labor market remained sluggish in the third quarter, but demand for freelance talent in areas related to artificial intelligence (AI) helped drive 2% year-over-year growth in gross services volume (GSV) at work marketplace Upwork.  “In terms of the macro, I’d say things have been relatively stable in the course of Q3, with no [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/gig-economy/2025/upwork-says-ai-projects-drive-growth-in-otherwise-sluggish-labor-market/"">Upwork Says AI Projects Drive Growth in Otherwise Sluggish Labor Market</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-04T02:53:44+00:00,2025-11-04T02:59:05.991314+00:00
PYMNTS,fintech_news,Simon Says Holidays Will Be Tariff Testing Ground for Luxury Retail,https://www.pymnts.com/news/retail/2025/simon-says-holidays-will-be-tariff-testing-ground-for-luxury-retail/,"<p>It’s a challenging operating and macro environment for retailers. And perhaps no one knows that better than the real estate firm Simon, which owns and invests primarily in shopping, dining, entertainment and mixed-use destinations.  “There is inability for retailers to eat the tariffs entirely, so they’re going to have to pass it along or [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/news/retail/2025/simon-says-holidays-will-be-tariff-testing-ground-for-luxury-retail/"">Simon Says Holidays Will Be Tariff Testing Ground for Luxury Retail</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-04T01:52:46+00:00,2025-11-04T02:59:05.991422+00:00
PYMNTS,fintech_news,"Google Expands Chrome Browser’s Autofill to Include Passport, Driver’s License",https://www.pymnts.com/google/2025/google-expands-chrome-browsers-autofill-to-include-passport-drivers-license/,"<p>Google’s Chrome browser can now fill in a user’s passport, driver’s license, vehicle license plate and vehicle identification number (VIN).  This capability expands upon the addresses, passwords and payment information the browser can already fill in, the company said in a Monday (Nov. 3) blog post. It is available to desktop users who enable [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/google/2025/google-expands-chrome-browsers-autofill-to-include-passport-drivers-license/"">Google Expands Chrome Browser’s Autofill to Include Passport, Driver’s License</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-04T00:46:31+00:00,2025-11-04T02:59:05.991545+00:00
PYMNTS,fintech_news,ThredUp Is ‘Cautious’ on State of the Consumer,https://www.pymnts.com/news/ecommerce/2025/thredup-is-cautious-on-state-of-the-consumer/,"<p>The resale platform ThredUp reported its strongest year-over-year growth in nearly four years, buoyed by record new customer acquisition and higher engagement from existing buyers.  But consumers are cautious moving into the holidays, according to commentary on the conference call after the market closed on Monday (Nov. 3). Company materials indicated that revenue rose [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/news/ecommerce/2025/thredup-is-cautious-on-state-of-the-consumer/"">ThredUp Is &#8216;Cautious&#8217; on State of the Consumer</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-04T00:37:51+00:00,2025-11-04T02:59:05.991638+00:00
PYMNTS,fintech_news,Sam Altman Says OpenAI Revenue Is Over $13 Billion and Growing Steeply,https://www.pymnts.com/artificial-intelligence-2/2025/sam-altman-says-openai-revenue-is-over-13-billion-and-growing-steeply/,"<p>OpenAI is doing “well more” than $13 billion in revenue, CEO Sam Altman said on a BG2Pod podcast over the weekend.  That figure has been widely reported, and some observers have wondered how OpenAI could pay for its recent compute deals with $13 billion in revenue, according to Seeking Alpha, which flagged Altman’s remarks [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/artificial-intelligence-2/2025/sam-altman-says-openai-revenue-is-over-13-billion-and-growing-steeply/"">Sam Altman Says OpenAI Revenue Is Over $13 Billion and Growing Steeply</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-03T23:39:05+00:00,2025-11-04T02:59:05.991724+00:00
PYMNTS,fintech_news,Robinhood Gold Subscribers Gain Access to Discounted Mortgage Rates from Sage,https://www.pymnts.com/partnerships/2025/robinhood-gold-subscribers-gain-access-to-discounted-mortgage-rates-from-sage/,"<p>Robinhood said Monday (Nov. 3) that eligible Robinhood Gold subscribers can now access exclusive discounted mortgage rates and closing credits through digital mortgage lender Sage Home Loans.  This offering is enabled by Robinhood’s exclusive agreement with Sage, and it became available Monday, the companies said in a press release. Robinhood fully rolled out the [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/partnerships/2025/robinhood-gold-subscribers-gain-access-to-discounted-mortgage-rates-from-sage/"">Robinhood Gold Subscribers Gain Access to Discounted Mortgage Rates from Sage</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-03T23:31:24+00:00,2025-11-04T02:59:05.991806+00:00
PYMNTS,fintech_news,Zerohash Gains Permission for Embedded Crypto and Stablecoin Services Under Europe’s MiCAR,https://www.pymnts.com/cryptocurrency/2025/zerohash-gains-permission-embedded-crypto-stablecoin-services-under-europe-micar/,"<p>Cryptocurrency and stablecoin infrastructure startup zerohash received permission to offer regulated crypto-asset and stablecoin infrastructure services across the European Economic Area.  The company said in a Monday (Nov. 3) press release that zerohash europe gained this permission in the form of authorization under the European Union’s Markets in Crypto-Assets Regulation (MiCAR) framework from the [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/cryptocurrency/2025/zerohash-gains-permission-embedded-crypto-stablecoin-services-under-europe-micar/"">Zerohash Gains Permission for Embedded Crypto and Stablecoin Services Under Europe’s MiCAR</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-03T22:14:20+00:00,2025-11-04T02:59:05.991890+00:00
The Block (Crypto/Fintech),fintech_news,Strategy proposes euro STRE share offering to fund future bitcoin buys,https://www.theblock.co/post/377385/strategy-euro-stre-bitcoin?utm_source=rss&utm_medium=rss,<p>Strategy plans to offer 3.5 million shares of euro-denominated perpetual preferred stock STRE to fund bitcoin purchases.</p>,2025-11-03T21:52:05-05:00,2025-11-04T02:59:06.067889+00:00
The Block (Crypto/Fintech),fintech_news,Cathie Wood’s Ark Invest buys $12 million worth of Bullish shares,https://www.theblock.co/post/377387/ark-invest-buys-bullish-shares?utm_source=rss&utm_medium=rss,"<p>Bullish, a crypto exchange backed by Peter Thiel, launched spot trading in the US last month after obtaining a key New York license.</p>",2025-11-03T21:30:28-05:00,2025-11-04T02:59:06.067986+00:00
PYMNTS,fintech_news,Travel Industry Urges Congress to End Government Shutdown Before Thanksgiving Week,https://www.pymnts.com/economy/2025/travel-industry-urges-congress-to-end-government-shutdown-before-thanksgiving-week/,"<p>More than 500 travel organizations and companies signed a letter calling on Congressional leaders of both parties to pass a clean continuing resolution to reopen the federal government in time for services to be restored before Thanksgiving.  Sent on the letterhead of the U.S. Travel Association, dated Monday (Nov. 3) and shared with PYMNTS, [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/economy/2025/travel-industry-urges-congress-to-end-government-shutdown-before-thanksgiving-week/"">Travel Industry Urges Congress to End Government Shutdown Before Thanksgiving Week</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-03T21:25:01+00:00,2025-11-04T02:59:05.991974+00:00
